Channel1,Channel2,Auto Threshold B,Pearson's Coefficient,Thresholded M1,Thresholded M2,Prot1,Prot2,Sample,Rep,Area A,Area B
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.769,0.009,0.132,TMEM9,CLCN3,well3,1,158.332,1.766
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007.nd2 (series 1)_MIP.tif T1,C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.924,0.001,0.075,TMEM9,CLCN3,well3,1,210.587,0.697
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.915,0.812,0.905,TMEM9,CLCN3,well3,1,174.146,146.92
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.099,0,0,TMEM9,EEA1,well3,1,0.435,26.039
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.218,0.028,0.147,TMEM9,EEA1,well3,1,75.391,10.799
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.459,0.031,0.835,TMEM9,EEA1,well3,1,156.245,3.887
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.198,0.041,0.415,TMEM9,EEA1,well3,1,163.469,12.937
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.262,0.089,0.528,TMEM9,EEA1,well3,1,143.908,21.771
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.338,0.152,0.622,TMEM9,EEA1,well3,1,100.851,21.412
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.347,0.013,0.501,TMEM9,EEA1,well3,1,181.265,3.181
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-008_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-008.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-008_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-008.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.282,0.029,0.678,TMEM9,EEA1,well3,1,76.629,2.472
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.067,0.005,0.027,TMEM9,EEA1,well3,1,149.409,18.244
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.147,0,0,TMEM9,LAMP1,well3,1,157.952,11.889
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.225,0,0,TMEM9,LAMP1,well3,1,174.04,8.813
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.18,0,0,TMEM9,LAMP1,well3,1,204.237,6.054
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.518,0.023,0.001,TMEM9,LAMP1,well3,1,4.348,95.73
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.486,4.69E-04,0.016,TMEM9,LAMP1,well3,1,201.887,4.698
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.201,0,0,TMEM9,LAMP1,well3,1,158.332,11.137
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.219,5.72E-04,0.118,TMEM9,LAMP1,well3,1,210.587,0.744
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.272,6.01E-05,0.022,TMEM9,LAMP1,well3,1,174.146,0.469
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.07,0.002,0.013,CLCN3,EEA1,well3,1,388.544,26.039
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.238,0.034,0.148,CLCN3,EEA1,well3,1,64.271,10.799
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.46,0.061,0.766,CLCN3,EEA1,well3,1,56.628,3.887
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.258,0.076,0.413,CLCN3,EEA1,well3,1,91.366,12.937
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.303,0.101,0.545,CLCN3,EEA1,well3,1,142.877,21.771
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.416,0.204,0.616,CLCN3,EEA1,well3,1,75.23,21.412
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.413,0.017,0.501,CLCN3,EEA1,well3,1,143.375,3.181
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-008_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-008.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-008_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-008.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.288,0.051,0.682,CLCN3,EEA1,well3,1,43.572,2.472
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.091,0.008,0.027,CLCN3,EEA1,well3,1,101.316,18.244
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.156,0,0,CLCN3,LAMP1,well3,1,116.635,11.889
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.214,0,0,CLCN3,LAMP1,well3,1,172.933,8.813
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.157,0,0,CLCN3,LAMP1,well3,1,177.767,6.054
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.481,0.034,0.001,CLCN3,LAMP1,well3,1,2.97,95.73
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.462,4.76E-04,0.014,CLCN3,LAMP1,well3,1,171.738,4.698
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.159,0,0,CLCN3,LAMP1,well3,1,1.766,11.137
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.215,0,0,CLCN3,LAMP1,well3,1,0.697,0.744
C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,C4-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.28,6.60E-05,0.022,CLCN3,LAMP1,well3,1,146.92,0.469
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.602,6.78E-05,0.022,CLCN3,TMEM9,well3,1,0.435,388.544
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.97,0.931,0.826,CLCN3,TMEM9,well3,1,75.391,64.271
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.915,0.953,0.475,CLCN3,TMEM9,well3,1,156.245,56.628
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.958,0.946,0.59,CLCN3,TMEM9,well3,1,163.469,91.366
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.957,0.903,0.899,CLCN3,TMEM9,well3,1,143.908,142.877
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.935,0.957,0.775,CLCN3,TMEM9,well3,1,100.851,75.23
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007.nd2 (series 1)_MIP.tif T1,C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.956,0.98,0.843,CLCN3,TMEM9,well3,1,181.265,143.375
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-008_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-008.nd2 (series 1)_MIP.tif T1,C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-008_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-008.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.898,0.896,0.59,CLCN3,TMEM9,well3,1,76.629,43.572
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.955,0.935,0.684,CLCN3,TMEM9,well3,1,149.409,101.316
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.945,0.959,0.779,CLCN3,TMEM9,well3,1,157.952,116.635
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.953,0.926,0.926,CLCN3,TMEM9,well3,1,174.04,172.933
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.947,0.947,0.88,CLCN3,TMEM9,well3,1,204.237,177.767
C2-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,C3-REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP1-well3-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.805,0.832,0.602,CLCN3,TMEM9,well3,1,4.348,2.97
