Channel1,Channel2,Auto Threshold B,Pearson's Coefficient,Thresholded M1,Thresholded M2,Prot1,Prot2,Sample,Rep,Area A,Area B
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.779,0.396,0.938,TMEM9,CLCN3,well3,3,165.544,50.713
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.963,0.646,0.972,TMEM9,CLCN3,well3,3,121.65,69.37
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.955,0.88,0.952,TMEM9,CLCN3,well3,3,208.043,180.691
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.301,0.029,0.757,TMEM9,EEA1,well3,3,111.426,4.271
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.352,0.032,0.317,TMEM9,EEA1,well3,3,141.491,10.136
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.392,0.006,0.213,TMEM9,EEA1,well3,3,91.86,2.189
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.593,0.124,0.998,TMEM9,EEA1,well3,3,122.914,11.031
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.226,0.002,0.067,TMEM9,EEA1,well3,3,355.192,8.75
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.29,0.017,0.692,TMEM9,EEA1,well3,3,112.609,2.387
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.292,0.019,0.544,TMEM9,EEA1,well3,3,452.865,11.336
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.415,4.64E-04,0.039,TMEM9,LAMP1,well3,3,264.354,2.7
